work_id	person_id	title	subtitle	author	path
5010	000933	筬の音	――わが幼時の記憶――	折口信夫	cards/000933/files/5010_ruby_14174/5010_ruby_14174.txt
5011	000933	鬼を追い払う夜		折口信夫	cards/000933/files/5011_ruby_14158/5011_ruby_14158.txt
5012	000933	日本美		折口信夫	cards/000933/files/5012_ruby_14176/5012_ruby_14176.txt
5013	000933	門松のはなし		折口信夫	cards/000933/files/5013_ruby_14160/5013_ruby_14160.txt
5016	000052	源氏物語	桐壺 紫式部	與謝野晶子訳	cards/000052/files/5016_ruby_9746/5016_ruby_9746.txt
5017	000052	源氏物語	帚木 紫式部	與謝野晶子訳	cards/000052/files/5017_ruby_9752/5017_ruby_9752.txt
5018	000052	源氏物語	空蝉 紫式部	與謝野晶子訳	cards/000052/files/5018_ruby_9754/5018_ruby_9754.txt
5019	000052	源氏物語	夕顔 紫式部	與謝野晶子訳	cards/000052/files/5019_ruby_9761/5019_ruby_9761.txt
5020	000052	源氏物語	若紫 紫式部	與謝野晶子訳	cards/000052/files/5020_ruby_11253/5020_ruby_11253.txt
5021	000052	源氏物語	末摘花 紫式部	與謝野晶子訳	cards/000052/files/5021_ruby_11106/5021_ruby_11106.txt
5022	000052	源氏物語	紅葉賀 紫式部	與謝野晶子訳	cards/000052/files/5022_ruby_10211/5022_ruby_10211.txt
5023	000052	源氏物語	花宴 紫式部	與謝野晶子訳	cards/000052/files/5023_ruby_10174/5023_ruby_10174.txt
5024	000052	源氏物語	葵 紫式部	與謝野晶子訳	cards/000052/files/5024_ruby_11084/5024_ruby_11084.txt
5025	000052	源氏物語	榊 紫式部	與謝野晶子訳	cards/000052/files/5025_ruby_11635/5025_ruby_11635.txt
5026	000052	源氏物語	花散里 紫式部	與謝野晶子訳	cards/000052/files/5026_ruby_11637/5026_ruby_11637.txt
5027	000052	源氏物語	須磨 紫式部	與謝野晶子訳	cards/000052/files/5027_ruby_11269/5027_ruby_11269.txt
5028	000052	源氏物語	明石 紫式部	與謝野晶子訳	cards/000052/files/5028_ruby_11649/5028_ruby_11649.txt
5029	000052	源氏物語	澪標 紫式部	與謝野晶子訳	cards/000052/files/5029_ruby_10176/5029_ruby_10176.txt
5030	000052	源氏物語	蓬生 紫式部	與謝野晶子訳	cards/000052/files/5030_ruby_10218/5030_ruby_10218.txt
5031	000052	源氏物語	関屋 紫式部	與謝野晶子訳	cards/000052/files/5031_ruby_10220/5031_ruby_10220.txt
5032	000052	源氏物語	絵合 紫式部	與謝野晶子訳	cards/000052/files/5032_ruby_10222/5032_ruby_10222.txt
5033	000052	源氏物語	松風 紫式部	與謝野晶子訳	cards/000052/files/5033_ruby_11017/5033_ruby_11017.txt
5034	000052	源氏物語	薄雲 紫式部	與謝野晶子訳	cards/000052/files/5034_ruby_11647/5034_ruby_11647.txt
5035	000052	源氏物語	朝顔 紫式部	與謝野晶子訳	cards/000052/files/5035_ruby_11651/5035_ruby_11651.txt
